ff5c99a7-0061-46be-8131-aacce5cadad6,003°50'38",11.2774016309 au
871dfcf5-8c9a-4632-92cd-bd2e89750abe,003°08'20",27.1664605483 au
7534af9e-e5f8-4886-b209-662934a242ba,003°00'50",08.2336420575 au
eef9d35c-d4a3-4390-a05c-df04744cfde3,001°05'36",20.2942201240 au
a0be0f82-1579-409a-97e7-440eb4de36d2,003°40'55",17.1418932704 au
d6893ca6-62da-4a7d-b4da-10385267e01e,003°19'11",23.0686829275 au
c1fd2526-cd0d-4ae0-b2c5-58fdb8fc8633,001°39'51",08.0450932084 au
2fdd7642-ca5c-46b1-9d0e-bebf98b8c953,001°04'54",05.1637428735 au
22d92bd3-fe2c-4ae5-a488-94579ec43f8e,003°49'23",26.2056429969 au
60281d82-f2b1-443e-85cb-dcb7453c99cf,001°01'49",25.0550118957 au
3c79a269-29e7-48e9-9dfc-96820142e16e,001°07'33",29.1609404649 au
906bb63a-747b-4247-826f-688248e9b7fe,001°45'54",21.1422604584 au
f4ebdf7f-731c-4f77-8271-516feb54ca8e,003°33'05",18.1935123659 au
54989937-9136-4a0f-8cac-7aed2d8abf91,002°35'24",14.0293406377 au
205ccec2-1935-4956-8706-f0e6544bd629,003°43'00",12.1772206280 au
991f17ca-2c9e-4deb-8e65-2b9d01e89764,001°03'59",26.2557331639 au
fe448a63-c99e-4266-93f5-92aa9af777e3,003°47'10",15.1790214551 au
978f93bf-7a24-4e0f-920e-787f8ee85e80,002°33'45",28.2414602206 au
0628b980-71e8-4786-a8e2-7ac673f73806,001°03'53",15.0946408703 au
8f905521-a0d8-438e-a865-2410210e7e69,002°54'15",25.0761624531 au
347aedcc-d39b-4d62-83b0-bc3315312132,002°06'12",14.0662914043 au
03adcff0-9db3-4721-938c-5720757d82dd,001°51'08",28.0201520119 au
89154494-975d-45d7-84f5-520d2c37a46c,001°24'15",05.2376402428 au
4ae68ed0-1297-4d6a-8673-419aba6bdac5,001°22'56",19.0525514233 au
ec19e0d9-e680-40e6-b6ea-907525c6d40d,002°01'18",15.0115609513 au
